Date,Close
2017-11-09,321.32
2017-11-10,298.66
2017-11-11,315.76
2017-11-12,306.1
2017-11-13,316.14
2017-11-14,335.54
2017-11-15,331.88
2017-11-16,329.91
2017-11-17,331.25
2017-11-18,346.96
2017-11-19,354.48
2017-11-20,366.0
2017-11-21,359.6
2017-11-22,380.88
2017-11-23,406.75
2017-11-24,471.17
2017-11-25,463.0
2017-11-26,467.0
2017-11-27,474.67
2017-11-28,464.95
2017-11-29,423.9
2017-11-30,435.09
2017-12-01,460.3
2017-12-02,456.04
2017-12-03,463.0
2017-12-04,467.83
2017-12-05,455.76
2017-12-06,415.83
2017-12-07,411.03
2017-12-08,440.27
2017-12-09,456.38
2017-12-10,425.07
2017-12-11,503.47
2017-12-12,620.59
2017-12-13,694.5
2017-12-14,689.69
2017-12-15,676.36
2017-12-16,684.0
2017-12-17,706.91
2017-12-18,787.28
2017-12-19,817.72
2017-12-20,797.1
2017-12-21,783.8
2017-12-22,669.36
2017-12-23,699.86
2017-12-24,686.96
2017-12-25,724.0
2017-12-26,751.09
2017-12-27,738.78
2017-12-28,717.23
2017-12-29,732.67
2017-12-30,698.46
2017-12-31,743.48
2018-01-01,752.78
2018-01-02,858.6
2018-01-03,940.4
2018-01-04,940.0
2018-01-05,966.0
2018-01-06,1004.27
2018-01-07,1117.96
2018-01-08,1130.0
2018-01-09,1287.47
2018-01-10,1240.48
2018-01-11,1135.0
2018-01-12,1258.68
2018-01-13,1384.78
2018-01-14,1359.59
2018-01-15,1276.71
2018-01-16,1057.88
2018-01-17,1029.22
2018-01-18,1024.69
2018-01-19,1036.03
2018-01-20,1150.0
2018-01-21,1049.09
2018-01-22,997.21
2018-01-23,983.7
2018-01-24,1065.0
2018-01-25,1050.0
2018-01-26,1051.81
2018-01-27,1115.51
2018-01-28,1229.41
2018-01-29,1168.0
2018-01-30,1051.54
2018-01-31,1110.14
2018-02-01,1022.08
2018-02-02,918.39
2018-02-03,969.93
2018-02-04,826.51
2018-02-05,692.36
2018-02-06,784.01
2018-02-07,752.89
2018-02-08,812.01
2018-02-09,875.1
2018-02-10,851.83
2018-02-11,809.69
2018-02-12,865.57
2018-02-13,841.82
2018-02-14,922.98
2018-02-15,927.91
2018-02-16,940.0
2018-02-17,977.74
2018-02-18,912.85
2018-02-19,938.05
2018-02-20,884.24
2018-02-21,837.98
2018-02-22,803.57
2018-02-23,851.98
2018-02-24,835.74
2018-02-25,842.65
2018-02-26,868.4
2018-02-27,870.32
2018-02-28,850.16
2018-03-01,869.01
2018-03-02,856.08
2018-03-03,853.76
2018-03-04,862.28
2018-03-05,848.0
2018-03-06,813.09
2018-03-07,750.42
2018-03-08,698.06
2018-03-09,726.13
2018-03-10,682.87
2018-03-11,720.38
